doc,idx,Word_EBM,Sent_pos,Word,Lemma,UPOS,XPOS,HEAD,DEPREL
6980168,0,Whole,1,Whole,whole,JJ,_,3,amod
6980168,1,pelvic,2,pelvic,pelvic,JJ,_,3,amod
6980168,2,irradiation,3,irradiation,irradiation,NN,_,0,ROOT
6980168,3,in,4,in,in,IN,_,8,case
6980168,4,stage,5,stage,stage,NN,_,8,compound
6980168,5,I,6,I,i,CD,_,8,nummod
6980168,6,endometrial,7,endometrial,endometrial,JJ,_,8,amod
6980168,7,carcinoma,8,carcinoma,carcinoma,NN,_,3,nmod
6980168,8,:,9,:,:,:,_,3,punct
6980168,9,changes,10,changes,change,NNS,_,3,dep
6980168,10,in,11,in,in,IN,_,12,case
6980168,11,numbers,12,numbers,number,NNS,_,10,nmod
6980168,12,and,13,and,and,CC,_,12,cc
6980168,13,reactivities,14,reactivities,reactivity,NNS,_,12,conj
6980168,14,of,15,of,of,IN,_,19,case
6980168,15,some,16,some,some,DT,_,19,det
6980168,16,blood,17,blood,blood,NN,_,19,compound
6980168,17,lymphocyte,18,lymphocyte,lymphocyte,NN,_,19,compound
6980168,18,subpopulations,19,subpopulations,subpopulation,NNS,_,12,nmod
6980168,19,.,20,.,.,.,_,3,punct
