doc,idx,Word_EBM,Sent_pos,Word,Lemma,UPOS,XPOS,HEAD,DEPREL
22421496,0,Randomized,1,Randomized,randomize,VBN,_,3,amod
22421496,1,crossover,2,crossover,crossover,NN,_,3,compound
22421496,2,study,3,study,study,NN,_,0,ROOT
22421496,3,comparing,4,comparing,compare,VBG,_,3,acl
22421496,4,efficacy,5,efficacy,efficacy,NN,_,4,dobj
22421496,5,of,6,of,of,IN,_,8,case
22421496,6,transnasal,7,transnasal,transnasal,JJ,_,8,amod
22421496,7,endoscopy,8,endoscopy,endoscopy,NN,_,5,nmod
22421496,8,with,9,with,with,IN,_,10,case
22421496,9,that,10,that,that,DT,_,4,nmod
22421496,10,of,11,of,of,IN,_,13,case
22421496,11,standard,12,standard,standard,JJ,_,13,amod
22421496,12,endoscopy,13,endoscopy,endoscopy,NN,_,10,nmod
22421496,13,to,14,to,to,TO,_,15,mark
22421496,14,detect,15,detect,detect,VB,_,13,acl
22421496,15,Barrett,16,Barrett,Barrett,NNP,_,18,nmod:poss
22421496,16,'s,17,'s,'s,POS,_,16,case
22421496,17,esophagus,18,esophagus,esophagus,NN,_,15,dobj
22421496,18,.,19,.,.,.,_,3,punct
22421496,19,BACKGROUND,1,BACKGROUND,background,NN,_,4,compound
22421496,20,Unsedated,2,Unsedated,unsedated,JJ,_,4,amod
22421496,21,transnasal,3,transnasal,transnasal,JJ,_,4,amod
22421496,22,endoscopy,4,endoscopy,endoscopy,NN,_,10,nsubj
22421496,23,(,5,-LRB-,-lrb-,-LRB-,_,6,punct
22421496,24,TNE,6,TNE,tne,NN,_,4,appos
22421496,25,),7,-RRB-,-rrb-,-RRB-,_,6,punct
22421496,26,may,8,may,may,MD,_,10,aux
22421496,27,be,9,be,be,VB,_,10,cop
22421496,28,safer,10,safer,safer,JJR,_,0,ROOT
22421496,29,and,11,and,and,CC,_,10,cc
22421496,30,less,12,less,less,RBR,_,13,advmod
22421496,31,expensive,13,expensive,expensive,JJ,_,10,conj
22421496,32,than,14,than,than,IN,_,16,case
22421496,33,standard,15,standard,standard,JJ,_,16,amod
22421496,34,endoscopy,16,endoscopy,endoscopy,NN,_,10,nmod
22421496,35,(,17,-LRB-,-lrb-,-LRB-,_,18,punct
22421496,36,SE,18,SE,se,NN,_,16,appos
22421496,37,),19,-RRB-,-rrb-,-RRB-,_,18,punct
22421496,38,for,20,for,for,IN,_,21,mark
22421496,39,detecting,21,detecting,detect,VBG,_,10,advcl
