doc,idx,Word_EBM,Sent_pos,Word,Lemma,UPOS,XPOS,HEAD,DEPREL
24315548,0,Randomized,1,Randomized,randomize,VBN,_,3,amod
24315548,1,clinical,2,clinical,clinical,JJ,_,3,amod
24315548,2,trial,3,trial,trial,NN,_,0,ROOT
24315548,3,of,4,of,of,IN,_,5,mark
24315548,4,cutting,5,cutting,cut,VBG,_,3,acl
24315548,5,balloon,6,balloon,balloon,NN,_,7,compound
24315548,6,angioplasty,7,angioplasty,angioplasty,NN,_,5,dobj
24315548,7,versus,8,versus,versus,CC,_,7,cc
24315548,8,high-pressure,9,high-pressure,high-pressure,JJ,_,11,amod
24315548,9,balloon,10,balloon,balloon,NN,_,11,compound
24315548,10,angioplasty,11,angioplasty,angioplasty,NN,_,7,conj
24315548,11,in,12,in,in,IN,_,16,case
24315548,12,hemodialysis,13,hemodialysis,hemodialysis,NN,_,16,compound
24315548,13,arteriovenous,14,arteriovenous,arteriovenous,JJ,_,16,amod
24315548,14,fistula,15,fistula,fistula,NN,_,16,compound
24315548,15,stenoses,16,stenoses,stenosis,NNS,_,5,nmod
24315548,16,resistant,17,resistant,resistant,JJ,_,16,amod
24315548,17,to,18,to,to,TO,_,21,case
24315548,18,conventional,19,conventional,conventional,JJ,_,21,amod
24315548,19,balloon,20,balloon,balloon,NN,_,21,compound
24315548,20,angioplasty,21,angioplasty,angioplasty,NN,_,17,nmod
24315548,21,.,22,.,.,.,_,3,punct
24315548,22,PURPOSE,1,PURPOSE,purpose,NN,_,0,ROOT
24315548,23,To,2,To,to,TO,_,3,mark
24315548,24,compare,3,compare,compare,VB,_,1,acl
24315548,25,the,4,the,the,DT,_,5,det
24315548,26,efficacy,5,efficacy,efficacy,NN,_,3,dobj
24315548,27,and,6,and,and,CC,_,5,cc
24315548,28,safety,7,safety,safety,NN,_,5,conj
24315548,29,of,8,of,of,IN,_,9,mark
24315548,30,cutting,9,cutting,cut,VBG,_,5,acl
24315548,31,balloon,10,balloon,balloon,NN,_,11,compound
24315548,32,angioplasty,11,angioplasty,angioplasty,NN,_,9,dobj
24315548,33,(,12,-LRB-,-lrb-,-LRB-,_,13,punct
24315548,34,CBA,13,CBA,cba,NN,_,11,appos
24315548,35,),14,-RRB-,-rrb-,-RRB-,_,13,punct
24315548,36,versus,15,versus,versus,CC,_,11,cc
24315548,37,high-pressure,16,high-pressure,high-pressure,JJ,_,18,amod
24315548,38,balloon,17,balloon,balloon,NN,_,18,compound
24315548,39,angioplasty,18,angioplasty,angioplasty,NN,_,11,conj
24315548,40,(,19,-LRB-,-lrb-,-LRB-,_,20,punct
24315548,41,HPBA,20,HPBA,hpba,NN,_,18,appos
24315548,42,),21,-RRB-,-rrb-,-RRB-,_,20,punct
24315548,43,for,22,for,for,IN,_,24,case
24315548,44,the,23,the,the,DT,_,24,det
24315548,45,treatment,24,treatment,treatment,NN,_,9,nmod
24315548,46,of,25,of,of,IN,_,29,case
24315548,47,hemodialysis,26,hemodialysis,hemodialysis,NN,_,29,compound
24315548,48,autogenous,27,autogenous,autogenous,JJ,_,29,amod
24315548,49,fistula,28,fistula,fistula,NN,_,29,compound
24315548,50,stenoses,29,stenoses,stenosis,NNS,_,24,nmod
24315548,51,resistant,30,resistant,resistant,JJ,_,29,amod
24315548,52,to,31,to,to,TO,_,35,case
24315548,53,conventional,32,conventional,conventional,JJ,_,35,amod
24315548,54,percutaneous,33,percutaneous,percutaneous,JJ,_,35,amod
24315548,55,transluminal,34,transluminal,transluminal,JJ,_,35,amod
24315548,56,angioplasty,35,angioplasty,angioplasty,NN,_,30,nmod
24315548,57,(,36,-LRB-,-lrb-,-LRB-,_,37,punct
24315548,58,PTA,37,PTA,PTA,NNP,_,35,appos
24315548,59,),38,-RRB-,-rrb-,-RRB-,_,37,punct
24315548,60,.,39,.,.,.,_,1,punct
24315548,61,MATERIALS,1,MATERIALS,material,NNS,_,26,advcl
24315548,62,AND,2,AND,and,CC,_,1,cc
24315548,63,METHODS,3,METHODS,method,NNS,_,1,conj
24315548,64,In,4,In,in,IN,_,10,case
24315548,65,a,5,a,a,DT,_,10,det
24315548,66,prospective,6,prospective,prospective,JJ,_,10,amod
24315548,67,",",7,",",",",",",_,10,punct
24315548,68,randomized,8,randomized,randomized,JJ,_,10,amod
24315548,69,clinical,9,clinical,clinical,JJ,_,10,amod
24315548,70,trial,10,trial,trial,NN,_,1,nmod
24315548,71,involving,11,involving,involve,VBG,_,10,acl
24315548,72,patients,12,patients,patient,NNS,_,11,dobj
24315548,73,with,13,with,with,IN,_,19,case
24315548,74,dysfunctional,14,dysfunctional,dysfunctional,JJ,_,19,amod
24315548,75,",",15,",",",",",",_,19,punct
24315548,76,stenotic,16,stenotic,stenotic,JJ,_,19,amod
24315548,77,hemodialysis,17,hemodialysis,hemodialysis,NN,_,19,compound
24315548,78,arteriovenous,18,arteriovenous,arteriovenous,JJ,_,19,amod
24315548,79,fistulas,19,fistulas,fistula,NNS,_,12,nmod
24315548,80,(,20,-LRB-,-lrb-,-LRB-,_,21,punct
24315548,81,AVFs,21,AVFs,avf,NNS,_,19,appos
24315548,82,),22,-RRB-,-rrb-,-RRB-,_,21,punct
24315548,83,",",23,",",",",",",_,26,punct
24315548,84,patients,24,patients,patient,NNS,_,26,nsubjpass
24315548,85,were,25,were,be,VBD,_,26,auxpass
24315548,86,randomized,26,randomized,randomize,VBN,_,0,ROOT
24315548,87,to,27,to,to,TO,_,28,mark
24315548,88,receive,28,receive,receive,VB,_,26,xcomp
24315548,89,CBA,29,CBA,cba,NN,_,28,dobj
24315548,90,or,30,or,or,CC,_,29,cc
24315548,91,HPBA,31,HPBA,hpba,NN,_,29,conj
24315548,92,if,32,if,if,IN,_,35,mark
24315548,93,conventional,33,conventional,conventional,JJ,_,34,amod
24315548,94,PTA,34,PTA,PTA,NNP,_,35,nsubj
24315548,95,had,35,had,have,VBD,_,28,advcl
24315548,96,suboptimal,36,suboptimal,suboptimal,JJ,_,37,amod
24315548,97,results,37,results,result,NNS,_,35,dobj
24315548,98,(,38,-LRB-,-lrb-,-LRB-,_,42,punct
24315548,99,ie,39,ie,ie,FW,_,42,advmod
24315548,100,",",40,",",",",",",_,42,punct
24315548,101,residual,41,residual,residual,JJ,_,42,amod
24315548,102,stenosis,42,stenosis,stenosis,NN,_,35,dep
24315548,103,>,43,>,>,JJR,_,44,advmod
24315548,104,30,44,30,30,CD,_,45,nummod
24315548,105,%,45,%,%,NN,_,42,dep
24315548,106,),46,-RRB-,-rrb-,-RRB-,_,42,punct
24315548,107,.,47,.,.,.,_,26,punct
24315548,108,A,1,A,a,DT,_,2,det
24315548,109,total,2,total,total,NN,_,6,nsubj
24315548,110,of,3,of,of,IN,_,5,case
24315548,111,516,4,516,516,CD,_,5,nummod
24315548,112,patients,5,patients,patient,NNS,_,2,nmod
24315548,113,consented,6,consented,consent,VBD,_,0,ROOT
24315548,114,to,7,to,to,TO,_,8,mark
24315548,115,participate,8,participate,participate,VB,_,6,xcomp
24315548,116,in,9,in,in,IN,_,11,case
24315548,117,the,10,the,the,DT,_,11,det
24315548,118,study,11,study,study,NN,_,8,nmod
24315548,119,from,12,from,from,IN,_,13,case
24315548,120,October,13,October,October,NNP,_,11,nmod
24315548,121,2008,14,2008,2008,CD,_,13,nummod
24315548,122,to,15,to,to,TO,_,16,case
24315548,123,September,16,September,September,NNP,_,13,nmod
24315548,124,2011,17,2011,2011,CD,_,16,nummod
24315548,125,",",18,",",",",",",_,6,punct
24315548,126,85,19,85,85,CD,_,20,nummod
24315548,127,%,20,%,%,NN,_,30,nsubj
24315548,128,of,21,of,of,IN,_,22,case
24315548,129,whom,22,whom,whom,WP,_,20,nmod
24315548,130,(,23,-LRB-,-lrb-,-LRB-,_,24,punct
24315548,131,n,24,n,n,NN,_,20,dep
24315548,132,=,25,=,=,JJ,_,24,amod
24315548,133,439,26,439,439,CD,_,25,dep
24315548,134,),27,-RRB-,-rrb-,-RRB-,_,24,punct
24315548,135,had,28,had,have,VBD,_,30,aux
24315548,136,technically,29,technically,technically,RB,_,30,advmod
24315548,137,successful,30,successful,successful,JJ,_,6,parataxis
24315548,138,conventional,31,conventional,conventional,JJ,_,32,amod
24315548,139,PTA,32,PTA,PTA,NNP,_,30,dobj
24315548,140,.,33,.,.,.,_,6,punct
24315548,141,The,1,The,the,DT,_,4,det
24315548,142,remaining,2,remaining,remain,VBG,_,4,amod
24315548,143,71,3,71,71,CD,_,4,nummod
24315548,144,patients,4,patients,patient,NNS,_,21,nsubjpass
24315548,145,(,5,-LRB-,-lrb-,-LRB-,_,6,punct
24315548,146,mean,6,mean,mean,VB,_,4,dep
24315548,147,age,7,age,age,NN,_,6,dobj
24315548,148,",",8,",",",",",",_,7,punct
24315548,149,60,9,60,60,CD,_,10,nummod
24315548,150,y,10,y,y,NN,_,7,appos
24315548,151,;,11,;,;,:,_,6,punct
24315548,152,49,12,49,49,CD,_,13,nummod
24315548,153,men,13,men,man,NNS,_,6,dep
24315548,154,),14,-RRB-,-rrb-,-RRB-,_,6,punct
24315548,155,with,15,with,with,IN,_,18,case
24315548,156,suboptimal,16,suboptimal,suboptimal,JJ,_,18,amod
24315548,157,PTA,17,PTA,PTA,NNP,_,18,compound
24315548,158,results,18,results,result,NNS,_,4,nmod
24315548,159,were,19,were,be,VBD,_,21,auxpass
24315548,160,eventually,20,eventually,eventually,RB,_,21,advmod
24315548,161,randomized,21,randomized,randomize,VBN,_,0,ROOT
24315548,162,:,22,:,:,:,_,21,punct
24315548,163,36,23,36,36,CD,_,21,dep
24315548,164,to,24,to,to,TO,_,27,case
24315548,165,the,25,the,the,DT,_,27,det
24315548,166,CBA,26,CBA,CBA,NNP,_,27,compound
