doc,idx,Word_EBM,Sent_pos,Word,Lemma,UPOS,XPOS,HEAD,DEPREL
25640884,0,Reducing,1,Reducing,reduce,VBG,_,0,ROOT
25640884,1,cancer,2,cancer,cancer,NN,_,4,compound
25640884,2,screening,3,screening,screening,NN,_,4,compound
25640884,3,disparities,4,disparities,disparity,NNS,_,1,dobj
25640884,4,in,5,in,in,IN,_,7,case
25640884,5,medicare,6,medicare,medicare,NN,_,7,compound
25640884,6,beneficiaries,7,beneficiaries,beneficiary,NNS,_,1,nmod
25640884,7,through,8,through,through,IN,_,11,case
25640884,8,cancer,9,cancer,cancer,NN,_,11,compound
25640884,9,patient,10,patient,patient,NN,_,11,compound
25640884,10,navigation,11,navigation,navigation,NN,_,1,nmod
25640884,11,.,12,.,.,.,_,1,punct
25640884,12,Significant,1,Significant,significant,JJ,_,3,amod
25640884,13,racial,2,racial,racial,JJ,_,3,amod
25640884,14,disparities,3,disparities,disparity,NNS,_,8,nsubjpass
25640884,15,in,4,in,in,IN,_,6,case
25640884,16,cancer,5,cancer,cancer,NN,_,6,compound
25640884,17,mortality,6,mortality,mortality,NN,_,3,nmod
25640884,18,are,7,are,be,VBP,_,8,auxpass
25640884,19,seen,8,seen,see,VBN,_,0,ROOT
25640884,20,between,9,between,between,IN,_,11,case
25640884,21,Medicare,10,Medicare,Medicare,NNP,_,11,compound
25640884,22,beneficiaries,11,beneficiaries,beneficiary,NNS,_,8,nmod
25640884,23,.,12,.,.,.,_,8,punct
25640884,24,A,1,A,a,DT,_,4,det
25640884,25,randomized,2,randomized,randomize,VBN,_,4,amod
25640884,26,controlled,3,controlled,controlled,JJ,_,4,amod
25640884,27,trial,4,trial,trial,NN,_,5,nsubj
25640884,28,tested,5,tested,test,VBD,_,0,ROOT
25640884,29,the,6,the,the,DT,_,7,det
25640884,30,use,7,use,use,NN,_,5,dobj
25640884,31,of,8,of,of,IN,_,10,case
25640884,32,lay,9,lay,lay,JJ,_,10,amod
25640884,33,navigators,10,navigators,navigator,NNS,_,7,nmod
25640884,34,(,11,-LRB-,-lrb-,-LRB-,_,13,punct
25640884,35,care,12,care,care,NN,_,13,compound
25640884,36,managers,13,managers,manager,NNS,_,10,appos
25640884,37,),14,-RRB-,-rrb-,-RRB-,_,13,punct
25640884,38,to,15,to,to,TO,_,16,mark
25640884,39,increase,16,increase,increase,VB,_,7,acl
25640884,40,cancer,17,cancer,cancer,NN,_,18,compound
25640884,41,screening,18,screening,screening,NN,_,16,dobj
25640884,42,of,19,of,of,IN,_,25,case
25640884,43,Asian,20,Asian,asian,JJ,_,25,amod
25640884,44,and,21,and,and,CC,_,20,cc
25640884,45,Pacific,22,Pacific,Pacific,NNP,_,20,conj
25640884,46,Islander,23,Islander,Islander,NNP,_,25,compound
25640884,47,Medicare,24,Medicare,Medicare,NNP,_,25,compound
