doc,idx,Word_EBM,Sent_pos,Word,Lemma,UPOS,XPOS,HEAD,DEPREL
9230648,0,Gonadotropin-releasing,1,Gonadotropin-releasing,gonadotropin-releasing,JJ,_,3,amod
9230648,1,hormone,2,hormone,hormone,NN,_,3,compound
9230648,2,agonist,3,agonist,agonist,NN,_,0,ROOT
9230648,3,in,4,in,in,IN,_,6,case
9230648,4,the,5,the,the,DT,_,6,det
9230648,5,treatment,6,treatment,treatment,NN,_,3,nmod
9230648,6,of,7,of,of,IN,_,9,case
9230648,7,premenstrual,8,premenstrual,premenstrual,JJ,_,9,amod
9230648,8,symptoms,9,symptoms,symptom,NNS,_,6,nmod
9230648,9,with,10,with,with,IN,_,14,nmod
9230648,10,and,11,and,and,CC,_,10,cc
9230648,11,without,12,without,without,IN,_,10,conj
9230648,12,ongoing,13,ongoing,ongoing,JJ,_,14,amod
9230648,13,dysphoria,14,dysphoria,dysphoria,NN,_,9,nmod
9230648,14,:,15,:,:,:,_,3,punct
9230648,15,a,16,a,a,DT,_,18,det
9230648,16,controlled,17,controlled,controlled,JJ,_,18,amod
9230648,17,study,18,study,study,NN,_,3,dep
9230648,18,.,19,.,.,.,_,3,punct
9230648,19,Gonadotropin-releasing,1,Gonadotropin-releasing,gonadotropin-releasing,JJ,_,2,amod
9230648,20,hormone,2,hormone,hormone,NN,_,6,compound
9230648,21,(,3,-LRB-,-lrb-,-LRB-,_,4,punct
9230648,22,GnRH,4,GnRH,gnrh,NN,_,2,appos
9230648,23,),5,-RRB-,-rrb-,-RRB-,_,4,punct
9230648,24,agonists,6,agonists,agonist,NNS,_,9,nsubjpass
9230648,25,have,7,have,have,VBP,_,9,aux
9230648,26,been,8,been,be,VBN,_,9,auxpass
9230648,27,shown,9,shown,show,VBN,_,0,ROOT
9230648,28,to,10,to,to,TO,_,11,mark
9230648,29,reduce,11,reduce,reduce,VB,_,9,xcomp
9230648,30,symptoms,12,symptoms,symptom,NNS,_,11,dobj
9230648,31,of,13,of,of,IN,_,15,case
9230648,32,premenstrual,14,premenstrual,premenstrual,JJ,_,15,amod
9230648,33,syndrome,15,syndrome,syndrome,NN,_,12,nmod
9230648,34,(,16,-LRB-,-lrb-,-LRB-,_,17,punct
9230648,35,PMS,17,PMS,pms,NN,_,15,appos
9230648,36,),18,-RRB-,-rrb-,-RRB-,_,17,punct
9230648,37,.,19,.,.,.,_,9,punct
9230648,38,This,1,This,this,DT,_,6,nsubj
9230648,39,randomized,2,randomized,randomize,VBN,_,6,advcl
9230648,40,",",3,",",",",",",_,6,punct
9230648,41,placebo-controlled,4,placebo-controlled,placebo-controlled,JJ,_,5,amod
9230648,42,study,5,study,study,NN,_,6,nsubj
9230648,43,examined,6,examined,examine,VBD,_,0,ROOT
9230648,44,the,7,the,the,DT,_,8,det
9230648,45,efficacy,8,efficacy,efficacy,NN,_,6,dobj
9230648,46,of,9,of,of,IN,_,12,case
9230648,47,the,10,the,the,DT,_,12,det
9230648,48,GnRH,11,GnRH,gnrh,NN,_,12,compound
9230648,49,agonist,12,agonist,agonist,NN,_,8,nmod
9230648,50,",",13,",",",",",",_,12,punct
9230648,51,leuprolide,14,leuprolide,leuprolide,NN,_,16,compound
9230648,52,acetate,15,acetate,acetate,NN,_,16,compound
9230648,53,depot,16,depot,depot,NN,_,12,appos
9230648,54,",",17,",",",",",",_,12,punct
9230648,55,in,18,in,in,IN,_,23,case
9230648,56,a,19,a,a,DT,_,23,det
9230648,57,clearly,20,clearly,clearly,RB,_,21,advmod
9230648,58,defined,21,defined,define,VBN,_,23,amod
9230648,59,PMS,22,PMS,pms,NN,_,23,compound
9230648,60,sample,23,sample,sample,NN,_,8,nmod
9230648,61,versus,24,versus,versus,CC,_,23,cc
9230648,62,women,25,women,woman,NNS,_,23,conj
9230648,63,with,26,with,with,IN,_,28,case
9230648,64,premenstrual,27,premenstrual,premenstrual,JJ,_,28,amod
9230648,65,symptoms,28,symptoms,symptom,NNS,_,25,nmod
9230648,66,in,29,in,in,IN,_,30,case
9230648,67,combination,30,combination,combination,NN,_,8,nmod
9230648,68,with,31,with,with,IN,_,33,case
9230648,69,dysphoric,32,dysphoric,dysphoric,JJ,_,33,amod
9230648,70,symptoms,33,symptoms,symptom,NNS,_,30,nmod
9230648,71,throughout,34,throughout,throughout,IN,_,36,case
9230648,72,the,35,the,the,DT,_,36,det
9230648,73,cycle,36,cycle,cycle,NN,_,33,nmod
9230648,74,",",37,",",",",",",_,6,punct
9230648,75,termed,38,termed,term,VBN,_,6,dep
9230648,76,the,39,the,the,DT,_,41,det
9230648,77,premenstrual,40,premenstrual,premenstrual,JJ,_,41,amod
